Student_ID,Name,Branch,CGPA,LeetCode_Solved,CodeChef_Rating,Internship_Status
STU1001,Aahana Rastogi,ME,8.14,301,1716,Placed
STU1002,Falan Bhardwaj,IT,7.23,325,1469,Seeking
STU1003,Ekavir Saran,ME,7.83,250,1767,Placed
STU1004,Lohit Kunda,CSE,7.68,168,1768,Seeking
STU1005,Hemal Rout,CSE,5.51,187,1539,Seeking
STU1006,Amrita Pingle,ECE,9.52,456,1952,Placed
STU1007,Aachal Dewan,ME,7.83,266,1571,Placed
STU1008,Veer Solanki,CSE,6.06,206,1521,Seeking
STU1009,Faras More,AI/DS,9.11,209,1619,Placed
STU1010,Chanakya Pau,CSE,5.7,256,1541,Seeking
STU1011,Lekha Bhatti,ECE,6.82,211,1477,Seeking
STU1012,Yatin Jha,AI/DS,8.67,234,1580,Placed
STU1013,Bakhshi Ben,ME,9.17,339,1641,Placed
STU1014,Theodore Bansal,ME,6.06,260,1406,Seeking
STU1015,Azaan Chadha,ME,9.47,255,1757,Placed
STU1016,Chaman Keer,ME,9.01,180,1603,Seeking
STU1017,Sathvik Dar,ME,7.21,252,1367,Seeking
STU1018,Aishani Bahri,AI/DS,9.01,261,1468,Placed
STU1019,Sachi Halder,IT,8.2,311,1410,Placed
STU1020,Noah Sood,CSE,9.62,442,1634,Placed
STU1021,Januja Seth,ME,7.33,293,1557,Seeking
STU1022,Unnati Sarkar,ECE,8.96,224,1797,Placed
STU1023,Urishilla Doctor,CSE,9.29,232,1492,Placed
STU1024,Mahika Srivastava,ECE,7.54,361,1414,Placed
STU1025,Yug Ray,IT,7.66,291,1674,Placed
STU1026,Banjeet Narasimhan,IT,6.58,217,1605,Seeking
STU1027,Vamakshi Savant,ECE,7.85,306,1667,Placed
STU1028,Rohan Sama,AI/DS,6.81,265,1401,Seeking
STU1029,Dev Roy,AI/DS,7.54,346,1588,Placed
STU1030,Advay Karan,ECE,6.6,310,1653,Seeking
STU1031,Nidhi Madan,IT,9.59,469,1930,Placed
STU1032,Harinakshi Deep,ME,9.76,448,1810,Placed
STU1033,Isaiah Dave,AI/DS,6.43,315,1360,Seeking
STU1034,Faraj Purohit,ECE,8.48,296,1500,Placed
STU1035,Jackson Dhar,AI/DS,6.98,223,1349,Seeking
STU1036,Pratyush Sampath,ECE,5.6,190,1403,Seeking
STU1037,Darpan Khanna,CSE,8.99,188,1665,Placed
STU1038,Hiral Edwin,ECE,5.98,275,1340,Seeking
STU1039,Irya Bawa,IT,7.94,269,1722,Placed
STU1040,Veer Gaba,ME,7.03,175,1695,Seeking
STU1041,Anay Das,ECE,9.56,210,1898,Placed
STU1042,Viraj Ravi,AI/DS,9.14,411,1520,Placed
STU1043,Indrajit Korpal,ME,7.12,234,1498,Seeking
STU1044,Abhiram Ghosh,AI/DS,7.97,294,1478,Placed
STU1045,Zinal Kibe,CSE,7.24,217,1521,Seeking
STU1046,Frado Kala,IT,8.43,404,1716,Placed
STU1047,Faqid Goel,ME,7.57,242,1620,Placed
STU1048,Amrita Bansal,IT,8.87,248,1612,Placed
STU1049,Xiti Batta,ECE,6.74,289,1343,Seeking
STU1050,Oeshi Ramanathan,AI/DS,5.98,233,1316,Seeking
STU1051,Theodore Grover,CSE,6.81,204,1435,Seeking
STU1052,Madhav Shroff,AI/DS,8.61,309,1766,Placed
STU1053,Harita Koshy,CSE,7.51,360,1578,Placed
STU1054,Arunima Manda,ME,6.2,186,1365,Seeking
STU1055,Aryan Halder,AI/DS,9.77,459,1625,Placed
STU1056,Unnati Pillai,ECE,6.94,152,1416,Seeking
STU1057,Chandresh Pandey,ECE,9.29,343,1798,Placed
STU1058,Neelima Garde,IT,9.66,405,1888,Placed
STU1059,Divya Narula,IT,7.38,162,1575,Seeking
STU1060,Maanas Wagle,ECE,7.23,231,1585,Seeking
STU1061,Anay Prakash,ME,7.32,278,1497,Seeking
STU1062,Yachana Bir,IT,7.14,235,1678,Seeking
STU1063,Janani Warrior,CSE,7.59,182,1523,Placed
STU1064,Kamala Rege,IT,7.49,187,1651,Seeking
STU1065,Saksham Nayar,CSE,9.08,281,1844,Placed
STU1066,Yasti Bandi,IT,7.59,235,1592,Placed
STU1067,Devansh Som,ME,9.55,276,1802,Placed
STU1068,Rajata Kala,ECE,9.15,192,1732,Placed
STU1069,Nimrat Savant,IT,5.99,143,1341,Seeking
STU1070,Guneet Vala,ME,6.76,243,1608,Seeking
STU1071,Megha Bawa,AI/DS,8.25,239,1709,Placed
STU1072,Chaitanya Khanna,ECE,7.97,223,1581,Placed
STU1073,Anthony Dasgupta,IT,7.31,299,1416,Seeking
STU1074,Triveni Bhat,ECE,7.44,349,1654,Seeking
STU1075,Amaira Jain,ECE,6.62,132,1569,Seeking
STU1076,Nilima Sarin,AI/DS,9.04,433,1840,Placed
STU1077,Chanchal Narain,CSE,9.45,463,1538,Placed
STU1078,Shravya Bose,IT,9.48,265,1663,Placed
STU1079,Frado Dhawan,IT,7.77,341,1613,Placed
STU1080,Aarush Bala,ECE,6.9,282,1517,Seeking
STU1081,Jai Sodhi,ECE,8.79,175,1553,Seeking
STU1082,Chatura Mangat,ME,9.38,234,1769,Placed
